日期,配额类型,开盘价,最高价,最低价,收盘价,涨幅,日成交量,日成交额,交易方式
2021-07-16,CEA,48.0,51.23,51.23,51.23,6.73,4103953.0,210230053.25,挂牌协议交易
2021-07-19,CEA,52.8,53.0,52.08,52.3,2.09,130800.0,6841289.0,挂牌协议交易
2021-07-20,CEA,52.92,54.0,52.9,53.28,1.87,162000.0,8631277.0,挂牌协议交易
2021-07-21,CEA,54.2,55.5,54.07,54.4,2.1,112000.0,6092830.0,挂牌协议交易
2021-07-21,CEA,54.2,55.5,54.07,54.4,2.1,100000.0,5292000.0,大宗协议交易
2021-07-22,CEA,55.3,58.5,54.3,55.52,2.06,112200.0,6229088.0,挂牌协议交易
2021-07-23,CEA,56.52,61.07,55.52,56.97,2.61,112000.0,6380260.0,挂牌协议交易
2021-07-26,CEA,54.5,54.85,53.98,54.46,-4.41,48000.0,2614220.0,挂牌协议交易
2021-07-27,CEA,52.2,55.76,51.34,54.63,0.31,74211.0,4054248.14,挂牌协议交易
2021-07-28,CEA,52.03,56.8,52.03,52.5,-3.9,72747.0,3819063.49,挂牌协议交易
2021-07-28,CEA,52.03,56.8,52.03,52.5,-3.9,800000.0,32784000.0,大宗协议交易
2021-07-29,CEA,52.9,54.88,50.98,52.96,0.88,84026.0,4450253.42,挂牌协议交易
2021-07-30,CEA,52.96,58.1,51.5,54.17,2.28,40000.0,2166806.0,挂牌协议交易
2021-08-02,CEA,50.35,55.3,50.35,51.99,-4.02,42022.0,2184609.4,挂牌协议交易
2021-08-03,CEA,48.0,57.0,48.0,53.44,2.79,45005.0,2405040.0,挂牌协议交易
2021-08-04,CEA,58.7,58.7,58.7,58.7,9.84,20000.0,1174000.0,挂牌协议交易
2021-08-05,CEA,52.85,59.0,52.85,54.9,-6.47,60000.0,3294000.0,挂牌协议交易
2021-08-06,CEA,52.96,52.96,52.96,52.96,-3.53,20000.0,1059200.0,挂牌协议交易
2021-08-09,CEA,53.3,58.26,53.3,53.32,0.68,3010.0,160482.6,挂牌协议交易
2021-08-09,CEA,53.3,58.26,53.3,53.32,0.68,279856.0,14100693.72,大宗协议交易
2021-08-10,CEA,55.32,55.32,55.32,55.32,3.75,20000.0,1106400.0,挂牌协议交易
2021-08-11,CEA,55.9,55.9,55.9,55.9,1.05,20000.0,1118000.0,挂牌协议交易
2021-08-12,CEA,52.0,55.7,52.0,55.43,-0.84,6001.0,332652.0,挂牌协议交易
2021-08-13,CEA,55.43,55.43,54.0,54.0,-2.58,51001.0,2754055.43,挂牌协议交易
2021-08-16,CEA,51.0,51.0,51.0,51.0,-5.56,10.0,510.0,挂牌协议交易
2021-08-16,CEA,51.0,51.0,51.0,51.0,-5.56,500000.0,25750000.0,大宗协议交易
2021-08-17,CEA,52.0,52.5,51.2,51.76,1.49,7001.0,362352.0,挂牌协议交易
2021-08-18,CEA,51.8,52.0,51.8,51.87,0.21,3000.0,155600.0,挂牌协议交易
2021-08-19,CEA,52.0,52.0,50.0,50.49,-2.66,4001.0,202002.0,挂牌协议交易
2021-08-20,CEA,49.0,49.0,49.0,49.0,-2.95,8000.0,392000.0,挂牌协议交易
2021-08-20,CEA,49.0,49.0,49.0,49.0,-2.95,900000.0,37350000.0,大宗协议交易
2021-08-23,CEA,49.0,50.2,49.0,50.2,2.45,3002.0,150698.0,挂牌协议交易
2021-08-24,CEA,50.19,50.2,50.17,50.2,0.0,2002.0,100500.36,挂牌协议交易
2021-08-25,CEA,49.0,49.0,47.0,47.64,-5.1,35210.0,1677280.0,挂牌协议交易
2021-08-25,CEA,49.0,49.0,47.0,47.64,-5.1,250000.0,11493000.0,大宗协议交易
2021-08-26,CEA,45.0,47.65,45.0,47.64,0.0,4212.0,200673.0,挂牌协议交易
2021-08-27,CEA,44.0,45.1,44.0,45.09,-5.35,101.0,4554.0,挂牌协议交易
2021-08-27,CEA,44.0,45.1,44.0,45.09,-5.35,205000.0,9020000.0,大宗协议交易
2021-08-30,CEA,45.09,45.22,45.09,45.16,0.16,35.0,1580.75,挂牌协议交易
2021-08-31,CEA,45.16,45.5,45.16,45.35,0.42,23.0,1043.1,挂牌协议交易
2021-09-01,CEA,45.35,46.0,44.21,45.19,-0.35,30.0,1355.6,挂牌协议交易
2021-09-02,CEA,44.66,44.66,44.66,44.66,-1.17,50.0,2233.0,挂牌协议交易
2021-09-03,CEA,44.66,45.0,44.66,44.67,0.02,520.0,23230.0,挂牌协议交易
2021-09-06,CEA,44.0,44.0,44.0,44.0,-1.5,10.0,440.0,挂牌协议交易
2021-09-07,CEA,43.8,44.0,43.8,43.9,-0.23,2000.0,87800.0,挂牌协议交易
2021-09-08,CEA,42.9,42.9,42.9,42.9,-2.28,40.0,1716.0,挂牌协议交易
2021-09-09,CEA,42.0,42.0,41.8,41.99,-2.12,1222.0,51306.1,挂牌协议交易
